Retén,Día,Turno
0,0,0
0,6,0
0,12,0
0,15,1
0,18,0
0,19,0
0,21,1
0,23,0
0,26,0
1,2,0
1,5,1
1,6,1
1,15,0
1,18,1
1,20,1
1,27,0
2,7,1
2,10,0
2,13,0
2,18,1
2,23,0
2,24,0
3,5,0
3,9,1
3,16,1
3,19,1
3,22,1
3,27,1
4,0,0
4,1,0
4,3,1
4,6,1
4,7,1
4,10,1
4,15,0
4,16,1
4,18,0
4,20,1
4,22,0
4,26,1
5,3,0
5,8,0
5,9,0
5,13,0
5,17,1
5,21,1
5,25,1
5,27,1
6,2,0
6,3,1
6,8,1
6,10,1
6,14,0
6,22,1
6,24,1
6,25,1
6,27,1
7,2,0
7,4,0
7,8,0
7,9,0
7,10,1
7,14,1
7,15,1
7,17,1
7,19,1
7,21,0
7,22,1
8,0,0
8,1,0
8,5,0
8,16,1
8,26,0
9,0,1
9,3,0
9,4,1
9,11,0
9,12,1
9,21,1
9,23,1
10,3,0
10,4,1
10,5,1
10,15,1
10,24,0
11,1,1
11,6,0
11,14,0
11,16,0
11,19,1
11,20,1
11,25,0
12,5,0
12,7,1
12,11,0
12,20,0
12,23,1
12,24,1
12,27,0
13,4,0
13,10,0
13,11,1
13,14,0
13,18,1
13,25,0
13,26,1
14,0,1
14,4,1
14,9,0
14,12,0
14,13,0
14,17,0
15,2,1
15,7,0
15,10,0
15,11,1
15,16,0
15,17,0
15,23,0
15,25,0
16,1,0
16,2,1
16,4,0
16,7,0
16,27,0
17,0,1
17,1,1
17,6,0
17,12,1
17,13,1
17,14,1
17,19,0
18,3,1
18,5,1
18,6,1
18,8,1
18,9,1
18,13,1
18,14,1
18,19,0
18,20,0
18,22,0
18,26,0
19,12,1
19,20,0
19,21,0
19,22,0
19,23,1
19,25,1
20,1,1
20,2,1
20,8,0
20,9,1
20,11,1
20,13,1
20,15,0
20,17,1
20,24,1
21,7,0
21,8,1
21,11,0
21,12,0
21,16,0
21,17,0
21,18,0
21,21,0
21,24,0
21,26,1
